frame,id,cx,cy,w,h
590,100,174,257,7,6
591,100,174,259,7,5
592,100,171,260,6,6
593,100,169,262,6,5
594,100,168,263,6,5
595,100,165,263,7,6
596,100,161,262,9,10
597,100,158,263,11,13
598,100,155,263,12,15
599,100,153,263,13,16
600,100,151,261,13,16
601,100,150,258,12,17
602,100,148,254,12,15
603,100,146,248,14,17
604,100,144,242,14,17
605,100,142,237,16,19
606,100,141,230,14,17
607,100,142,224,16,17
608,100,145,216,16,17
609,100,145,216,16,17
610,100,152,202,15,16
611,100,156,199,15,15
612,100,162,194,15,15
613,100,168,191,14,14
614,100,173,186,15,15
615,100,176,182,15,15
616,100,179,181,16,15
617,100,182,180,15,15
618,100,185,179,15,16
619,100,187,179,15,16
620,100,189,176,15,17
621,100,191,175,15,15
622,100,193,174,14,15
623,100,195,173,14,15
624,100,197,172,13,15
625,100,199,171,13,15
626,100,202,171,14,15
627,100,204,171,14,14
628,100,204,171,14,14
629,100,210,170,15,15
630,100,213,171,14,15
631,100,214,173,15,15
632,100,217,177,13,15
633,100,219,186,13,19
634,100,217,195,13,18
635,100,217,203,13,16
636,100,215,214,13,18
637,100,213,221,14,21
638,100,209,227,12,17
639,100,203,231,13,17
640,100,196,233,13,17
641,100,188,234,10,15
642,100,176,234,11,16
643,100,167,233,14,17
644,100,157,230,13,15
645,100,147,223,13,16
646,100,138,217,14,16
647,100,138,217,14,16
648,100,119,203,15,16
649,100,109,194,17,16
650,100,100,185,17,14
651,100,92,175,18,16
652,100,83,166,22,15
653,100,73,158,15,13
654,100,67,148,19,12
655,100,58,142,15,10
656,100,52,136,16,10
657,100,51,132,20,12
658,100,49,133,19,12
659,100,48,135,19,12
660,100,48,140,19,12
661,100,50,147,19,12
662,100,52,157,18,13
663,100,56,166,20,16
664,100,62,175,23,16
665,100,69,184,19,16
666,100,77,196,17,15
667,100,90,207,18,16
668,100,103,221,15,15
669,100,119,234,14,14
670,100,136,249,15,18
671,100,153,264,10,14
672,100,175,275,5,4
673,100,198,287,7,8
674,100,201,288,7,7
675,100,204,288,6,7
676,100,207,287,7,8
677,100,210,287,7,8
678,100,212,287,6,7
679,100,214,286,7,8
680,100,217,286,7,8
681,100,219,285,6,8
682,100,221,284,7,8
683,100,223,285,7,7
684,100,224,285,6,5
685,100,226,286,6,6
686,100,228,287,5,5
687,100,229,288,6,5
688,100,229,288,5,4
689,100,231,287,6,6
690,100,232,288,6,7
691,100,233,288,6,6
692,100,234,289,6,7
693,100,236,289,5,6
694,100,239,288,6,10
695,100,238,286,9,17
696,100,237,277,9,16
697,100,233,262,9,16
698,100,231,245,14,20
699,100,234,223,11,18
700,100,234,192,11,15
701,100,233,173,16,16
702,100,233,150,16,16
703,100,233,127,16,16
704,100,234,104,16,16
705,100,234,81,16,16
706,100,289,66,5,11
707,100,297,55,5,8
708,100,307,34,16,16
709,100,317,17,16,16
710,100,327,0,16,16
711,100,267,377,7,3
712,100,265,377,16,4
713,100,264,377,24,6
714,100,259,407,16,16
715,100,254,437,16,16
716,100,250,467,16,16
717,100,246,497,16,16
718,100,363,254,16,16
719,100,480,12,27,10
720,100,482,19,20,10
721,100,523,2,4,5
722,100,523,2,4,5
723,100,516,17,10,9
724,100,515,18,10,8
725,100,513,19,11,10
726,100,510,19,9,8
727,100,506,17,9,8
728,100,503,16,9,10
729,100,501,16,9,10
730,100,500,16,10,10
731,100,502,18,10,9
732,100,503,21,10,9
733,100,504,23,8,10
734,100,503,26,9,9
735,100,499,28,10,9
736,100,495,28,7,6
737,100,490,27,10,9
738,100,487,28,9,9
739,100,483,29,8,9
740,100,481,30,7,9
741,100,481,30,7,9
742,100,474,31,8,7
743,100,471,32,9,10
744,100,447,50,11,8
745,100,444,49,13,9
746,100,464,29,7,7
747,100,461,30,8,9
748,100,460,32,9,11
749,100,460,32,8,10
750,100,461,33,9,10
751,100,462,31,5,7
752,100,462,31,7,8
753,100,463,29,8,9
754,100,464,28,7,9
755,100,464,28,7,9
756,100,465,28,8,11
757,100,466,29,6,9
758,100,234,229,15,28
759,100,232,233,20,30
760,100,202,263,16,16
761,100,172,293,16,16
762,100,205,272,16,16
763,100,330,177,18,28
764,100,456,82,22,29
765,100,457,82,22,29
766,100,476,37,6,8
767,100,477,36,7,9
768,100,477,36,6,8
769,100,478,36,7,9
770,100,477,35,7,9
771,100,478,35,7,9
772,100,478,35,6,8
773,100,478,35,6,9
774,100,479,34,6,9
775,100,479,33,6,8
776,100,477,32,6,9
777,100,478,32,6,9
778,100,480,33,7,10
779,100,481,35,6,10
780,100,481,35,7,9
781,100,481,35,5,7
782,100,481,36,6,8
783,100,480,36,5,7
784,100,479,37,5,8
785,100,478,35,4,6
786,100,477,35,4,8
787,100,480,36,4,8
788,100,484,40,4,5
789,100,481,62,6,22
790,100,479,84,18,20
791,100,482,82,19,19
792,100,485,80,19,21
793,100,488,79,20,21
794,100,491,77,23,25
795,100,500,74,16,16
796,100,507,71,16,16
797,100,530,54,5,5
798,100,423,78,5,8
799,100,423,73,16,16
800,100,394,77,16,16
801,100,366,80,16,16
802,100,538,71,11,14
803,100,558,52,13,9
804,100,567,50,9,7
805,100,575,47,9,7
806,100,583,45,9,6
807,100,591,42,9,6
808,100,599,40,9,6
809,100,607,39,8,6
810,100,614,38,8,6
811,100,621,37,10,5
812,100,627,36,9,6
813,100,632,36,7,5
814,100,634,37,6,4
815,100,642,37,7,4
816,100,642,37,7,4
817,100,646,37,16,16
818,100,570,17,22,12
819,100,555,12,16,16
820,100,532,6,16,16
821,100,509,0,16,16
822,100,485,-7,16,16
823,100,671,35,5,4
824,100,672,33,8,5
825,100,674,31,9,5
826,100,679,28,7,4
827,100,681,25,6,4
828,100,686,23,16,16
829,100,690,20,16,16
830,100,694,18,16,16
831,100,698,16,16,16
832,100,702,13,16,16
833,100,705,11,16,16
834,100,709,8,16,16
835,100,713,6,16,16
836,100,717,4,16,16
837,100,714,144,4,5
838,100,714,145,6,7
839,100,722,145,6,10
840,100,729,143,7,8
841,100,732,142,8,11
842,100,735,140,6,8
